Тип предприятия,Код предприятия,Количество хостов,Код реализованной угрозы,Успех,Регион размещения предприятия,Дата инцидента,Региональное время
энергетика,2214,228,49,0,Москва,21.01.2024,21.01.2024 03:13
логистика,2379,1530,62,1,Камчатский край,26.01.2024,26.01.2024 14:19
консалтинг,2428,1170,109,0,Новгородская область,07.12.2023,07.12.2023 07:47
консалтинг,7948,1165,6,1,Республика Саха (Якутия),11.05.2024,11.05.2024 15:18
фармацевтика,6419,304,86,0,Псковская область,03.06.2025,03.06.2025 16:54
логистика,9481,1420,188,1,Республика Адыгея,25.09.2025,25.09.2025 15:31
безопасность,9684,1684,157,1,Рязанская область,05.05.2023,05.05.2023 19:01
реклама,9444,846,142,0,Нижегородская область,04.05.2025,04.05.2025 18:07
логистика,5682,1118,179,1,Москва,27.11.2023,27.11.2023 12:46
ресторанный бизнес,7689,904,113,0,Новосибирская область,25.03.2024,26.03.2024 01:58
телекоммуникации,9865,1947,216,1,Ярославская область,23.08.2024,24.08.2024 02:45
маркетинг,6830,1906,173,1,Курганская область,28.11.2023,29.11.2023 00:13
информационные технологии,1413,1566,124,0,Калужская область,13.02.2024,13.02.2024 08:38
логистика,1654,1825,107,1,Пермский край,25.04.2024,25.04.2024 11:35
машиностроение,0298,934,226,1,Астраханская область,21.11.2023,21.11.2023 08:52
безопасность,0524,1852,17,1,Ямало-Ненецкий автономный округ,22.08.2023,23.08.2023 00:14
химия,9208,658,125,1,Саратовская область,28.12.2024,28.12.2024 04:49
медицина,4383,509,219,0,Республика Коми,15.06.2025,15.06.2025 17:53
химия,1735,1800,157,0,Республика Бурятия,27.03.2023,28.03.2023 00:06
розничная торговля,1935,1983,53,1,Смоленская область,21.08.2024,22.08.2024 01:28
безопасность,8166,1700,223,0,Костромская область,14.01.2025,14.01.2025 13:52
энергетика,2015,1937,52,1,Республика Дагестан,14.01.2023,14.01.2023 10:53
логистика,5593,787,130,0,Ненецкий автономный округ,28.06.2024,28.06.2024 14:45
реклама,5909,1489,171,0,Костромская область,20.12.2025,20.12.2025 16:50
отели,2261,1842,110,1,Чеченская республика,28.07.2025,28.07.2025 19:50
системная интеграция,0488,1106,38,0,Алтайский край,23.05.2023,23.05.2023 09:21
телекоммуникации,6581,1781,43,1,Краснодарский край,16.03.2025,16.03.2025 04:42
НКО,2474,1376,15,1,Республика Дагестан,03.04.2025,04.04.2025 00:44
медицина,4987,1677,191,1,Волгоградская область,17.01.2023,17.01.2023 11:57
безопасность,2407,1634,104,1,Республика Крым,25.02.2024,25.02.2024 20:39
образование,7245,1628,89,1,Белгородская область,09.09.2024,09.09.2024 05:02
медицина,5481,998,186,0,Алтайский край,04.08.2024,04.08.2024 13:05
безопасность,9041,839,134,1,Чукотский автономный округ,24.11.2023,24.11.2023 12:01
медицина,9708,729,62,1,Республика Карачаево-Черкесия,31.10.2025,31.10.2025 06:46
машиностроение,6111,731,161,1,Тверская область,08.04.2023,08.04.2023 23:07
консалтинг,4882,1372,189,0,Свердловская область,25.11.2024,25.11.2024 12:51
фармацевтика,9267,1663,161,0,Волгоградская область,04.09.2024,04.09.2024 12:42
фармацевтика,2294,1662,97,0,Псковская область,02.11.2024,02.11.2024 19:37
ресторанный бизнес,5920,1130,26,0,Республика Карачаево-Черкесия,23.04.2025,23.04.2025 05:05
машиностроение,6962,466,122,0,Тюменская область,09.06.2023,09.06.2023 16:43
безопасность,6599,1404,144,1,Республика Мордовия,18.10.2025,18.10.2025 23:27
консалтинг,8021,1698,107,0,Владимирская область,01.11.2025,01.11.2025 07:31
консалтинг,2120,1642,132,0,Тамбовская область,21.07.2025,21.07.2025 18:02
розничная торговля,9160,956,31,1,Новгородская область,05.09.2023,05.09.2023 14:36
информационные технологии,0660,1270,40,0,Ростовская область,16.09.2024,16.09.2024 14:19
информационные технологии,7962,257,203,0,Владимирская область,13.05.2025,13.05.2025 04:59
информационные технологии,4645,641,47,1,Калининградская область,08.09.2023,08.09.2023 19:22
добыча,0733,1055,124,1,Забайкальский край,15.07.2025,15.07.2025 19:50
маркетинг,7787,1908,185,0,Ивановская область,30.10.2025,30.10.2025 23:29
консалтинг,7358,505,222,1,Архангельская область,18.04.2025,18.04.2025 15:14
маркетинг,5555,1307,12,1,Кировская область,01.07.2023,01.07.2023 08:45
металлургия,9372,1490,204,1,Республика Бурятия,11.09.2023,12.09.2023 04:35
добыча,3153,1467,139,0,Забайкальский край,04.12.2025,04.12.2025 15:48
логистика,8236,238,31,0,Москва,17.07.2024,17.07.2024 09:15
фармацевтика,7279,373,207,1,Республика Ингушетия,03.04.2023,03.04.2023 18:55
металлургия,5570,1095,47,1,Московская область,17.12.2025,17.12.2025 13:24
автобизнес,1492,434,26,0,Республика Татарстан,22.10.2023,22.10.2023 08:16
добыча,2527,828,105,0,Краснодарский край,28.10.2024,28.10.2024 08:01
машиностроение,4883,998,26,1,Владимирская область,25.04.2025,25.04.2025 13:16
маркетинг,1982,306,52,0,Хабаровский край,29.04.2024,30.04.2024 01:32
безопасность,6309,435,69,0,Пензенская область,09.08.2025,09.08.2025 20:26
добыча,7933,259,105,0,Москва,05.07.2024,05.07.2024 20:37
химия,4036,1762,143,0,Пермский край,13.04.2025,13.04.2025 19:05
НКО,8200,616,201,0,Ростовская область,11.12.2023,11.12.2023 10:34
реклама,9096,1125,11,0,Челябинская область,15.08.2024,16.08.2024 01:10
металлургия,0986,1187,70,1,Херсонская область,17.02.2025,17.02.2025 14:53
НКО,3486,1398,216,1,Республика Карелия,27.11.2023,28.11.2023 02:34
фармацевтика,1146,815,23,1,Тверская область,14.10.2023,15.10.2023 02:35
автобизнес,7078,631,157,1,Херсонская область,02.12.2024,02.12.2024 23:16
консалтинг,4474,703,170,1,Саратовская область,07.03.2024,07.03.2024 17:38
телекоммуникации,0261,1616,35,0,Приморский край,02.09.2025,02.09.2025 10:57
металлургия,2844,1046,143,1,Республика Северная Осетия-Алания,16.06.2023,16.06.2023 23:41
добыча,8826,263,214,1,Запорожская область,10.09.2023,10.09.2023 14:52
маркетинг,9852,933,100,0,Санкт-Петербург,13.09.2023,13.09.2023 17:23
ресторанный бизнес,7284,219,57,0,Кировская область,02.01.2025,02.01.2025 09:05
образование,4968,1855,184,0,Рязанская область,08.10.2025,08.10.2025 14:02
автобизнес,8075,1641,181,0,Калининградская область,06.02.2024,06.02.2024 22:25
химия,4545,1365,129,1,Брянская область,01.02.2024,02.02.2024 00:47
фармацевтика,9880,1357,45,0,Еврейская автономная область,20.09.2023,21.09.2023 09:04
энергетика,4254,1367,220,0,Алтайский край,15.07.2024,15.07.2024 13:54
металлургия,8732,1458,65,1,Калининградская область,24.05.2025,24.05.2025 22:43
НКО,0850,1948,83,1,Чеченская республика,15.07.2024,15.07.2024 06:43
безопасность,7645,1214,93,0,Воронежская область,07.04.2023,07.04.2023 11:58
реклама,8724,1119,81,0,Республика Северная Осетия-Алания,03.02.2024,03.02.2024 13:05
фармацевтика,0416,1710,58,1,Мурманская область,26.05.2024,26.05.2024 09:10
телекоммуникации,5093,328,161,0,Московская область,09.09.2025,09.09.2025 16:51
металлургия,9709,1832,161,1,Чувашская Республика,21.05.2024,21.05.2024 06:30
отели,5584,1904,14,1,Алтайский край,29.04.2024,29.04.2024 09:49
образование,7185,1764,25,1,Республика Саха (Якутия),13.09.2023,13.09.2023 11:03
машиностроение,6184,841,218,0,Ярославская область,07.05.2023,07.05.2023 17:03
информационные технологии,7076,334,27,0,Республика Бурятия,17.04.2023,17.04.2023 17:54
маркетинг,6582,396,159,1,Рязанская область,22.01.2023,22.01.2023 17:24
консалтинг,7015,1470,159,0,Саратовская область,23.02.2023,23.02.2023 17:33
телекоммуникации,9631,594,28,0,Санкт-Петербург,19.05.2023,19.05.2023 21:50
ресторанный бизнес,9392,458,164,1,Астраханская область,12.05.2025,12.05.2025 18:46
образование,7285,580,63,0,Республика Карелия,04.05.2023,04.05.2023 07:19
фармацевтика,7141,1250,167,1,Республика Башкортостан,26.10.2023,26.10.2023 09:30
информационные технологии,9885,902,75,1,Санкт-Петербург,26.11.2025,26.11.2025 21:42
энергетика,0940,686,130,0,Республика Карачаево-Черкесия,05.12.2024,05.12.2024 09:12
НКО,3298,1808,18,1,Курская область,01.09.2025,02.09.2025 01:44
консалтинг,9827,1618,85,1,Сахалинская область,05.09.2024,06.09.2024 00:21
розничная торговля,1718,1130,225,0,Томская область,25.03.2024,25.03.2024 07:40
отели,3773,1155,160,0,Тульская область,11.09.2025,12.09.2025 02:49
телекоммуникации,6159,620,103,0,Калининградская область,13.01.2025,13.01.2025 02:04
системная интеграция,0492,1336,30,0,Удмуртская Республика,20.06.2025,20.06.2025 09:40
фармацевтика,5897,289,8,0,Белгородская область,04.08.2024,04.08.2024 08:14
автобизнес,2856,895,217,0,Калужская область,06.02.2024,06.02.2024 03:11
автобизнес,1658,242,213,0,Ставропольский край,16.08.2023,16.08.2023 13:59
ресторанный бизнес,4999,1134,62,1,Ростовская область,17.12.2023,17.12.2023 19:51
образование,7107,1998,183,0,Тверская область,23.10.2023,23.10.2023 07:50
ресторанный бизнес,3141,1290,97,1,Пензенская область,29.05.2025,29.05.2025 23:15
машиностроение,9623,587,219,1,Костромская область,02.11.2024,02.11.2024 10:03
НКО,4589,1987,33,1,Липецкая область,16.06.2023,16.06.2023 18:50
образование,1063,542,131,1,Республика Крым,08.11.2025,08.11.2025 14:31
безопасность,7607,566,83,1,Республика Алтай,16.09.2025,17.09.2025 05:31
логистика,4397,1390,103,0,Липецкая область,25.03.2024,25.03.2024 09:28
отели,6487,647,79,1,Ставропольский край,18.11.2023,18.11.2023 14:16
медицина,1389,475,193,0,Удмуртская Республика,29.06.2025,29.06.2025 19:22
отели,9568,284,120,1,Республика Карачаево-Черкесия,12.07.2025,12.07.2025 17:27
реклама,6022,1847,128,1,Нижегородская область,22.02.2025,22.02.2025 03:11
консалтинг,3831,743,166,0,Астраханская область,18.06.2023,18.06.2023 12:53
безопасность,8402,1319,165,0,Кировская область,11.04.2024,11.04.2024 06:07
добыча,5903,278,140,0,Самарская область,07.02.2024,08.02.2024 00:21
автобизнес,4960,1726,209,1,Курская область,10.10.2023,11.10.2023 01:47
медицина,4279,217,198,1,Республика Татарстан,10.12.2024,10.12.2024 15:25
фармацевтика,0195,1166,168,0,Республика Северная Осетия-Алания,11.04.2024,11.04.2024 10:46
ресторанный бизнес,7774,678,133,1,Челябинская область,28.11.2024,28.11.2024 07:20
ресторанный бизнес,7026,1777,179,1,Липецкая область,17.06.2025,17.06.2025 17:54
медицина,0494,967,36,0,Республика Башкортостан,20.01.2023,20.01.2023 20:51
системная интеграция,5568,661,108,1,Херсонская область,06.04.2025,07.04.2025 01:34
информационные технологии,5343,1402,6,0,Ивановская область,11.11.2023,11.11.2023 13:36
НКО,9880,1444,147,1,Ставропольский край,23.02.2024,23.02.2024 15:04
медицина,6332,585,122,0,Самарская область,13.07.2025,13.07.2025 23:57
информационные технологии,1528,551,27,0,Республика Адыгея,27.09.2025,27.09.2025 03:11
ресторанный бизнес,1139,990,73,0,Рязанская область,19.08.2024,20.08.2024 00:33
добыча,7450,317,95,0,Брянская область,31.10.2024,31.10.2024 16:25
розничная торговля,1815,464,138,1,Оренбургская область,21.05.2023,21.05.2023 17:57
ресторанный бизнес,2129,1982,53,1,Ямало-Ненецкий автономный округ,30.08.2025,30.08.2025 10:38
фармацевтика,5085,1403,52,1,Кировская область,18.02.2024,18.02.2024 03:09
консалтинг,1049,1888,103,0,Республика Алтай,04.11.2024,05.11.2024 01:56
логистика,7540,1147,148,0,Архангельская область,12.08.2024,12.08.2024 23:56
консалтинг,5682,1634,216,1,Республика Северная Осетия-Алания,25.12.2023,25.12.2023 16:15
розничная торговля,7080,1137,99,0,Забайкальский край,15.07.2023,15.07.2023 21:44
машиностроение,3928,1982,41,1,Камчатский край,20.08.2024,21.08.2024 09:58
добыча,3560,1210,106,0,Ростовская область,06.06.2023,06.06.2023 06:32
телекоммуникации,6720,1123,43,1,Липецкая область,02.11.2025,02.11.2025 04:29
металлургия,1200,1508,178,1,Ставропольский край,04.12.2024,05.12.2024 02:25
ресторанный бизнес,6500,277,3,1,Новгородская область,07.10.2023,07.10.2023 13:42
консалтинг,7943,1144,18,0,Иркутская область,11.05.2024,12.05.2024 06:28
энергетика,7714,1880,72,0,Брянская область,06.02.2023,06.02.2023 22:06
розничная торговля,4820,454,137,1,Брянская область,08.06.2023,09.06.2023 00:48
металлургия,4477,514,113,1,Калужская область,19.03.2024,20.03.2024 01:02
медицина,3542,1105,179,0,Чукотский автономный округ,06.12.2025,07.12.2025 08:42
химия,6400,1613,79,1,Республика Коми,10.01.2023,10.01.2023 04:49
маркетинг,3306,711,96,0,Белгородская область,07.07.2023,07.07.2023 03:26
металлургия,0239,890,211,0,Херсонская область,10.05.2023,10.05.2023 10:56
химия,2751,1682,43,0,Республика Дагестан,15.11.2025,15.11.2025 06:52
телекоммуникации,5287,1351,161,0,Магаданская область,29.02.2024,01.03.2024 04:25
реклама,1980,675,55,0,Астраханская область,24.10.2024,24.10.2024 08:00
маркетинг,5182,224,100,0,Свердловская область,26.03.2024,26.03.2024 07:42
автобизнес,6046,289,18,0,Чеченская республика,09.09.2024,09.09.2024 22:31
химия,8785,1820,218,0,Чувашская Республика,14.07.2023,14.07.2023 22:20
НКО,6367,1588,198,0,Самарская область,26.12.2023,26.12.2023 23:48
телекоммуникации,7900,338,86,0,Приморский край,08.07.2025,08.07.2025 22:32
НКО,3809,1231,151,0,Рязанская область,13.02.2023,13.02.2023 22:48
химия,5061,684,189,1,Республика Марий,12.06.2023,12.06.2023 04:08
системная интеграция,8172,807,52,0,Ставропольский край,23.02.2024,23.02.2024 23:02
отели,9799,1108,190,1,Ивановская область,23.07.2024,23.07.2024 13:41
машиностроение,8534,1821,107,1,Московская область,14.04.2024,15.04.2024 02:21
телекоммуникации,3970,621,139,0,Луганская Народная Республика,23.05.2024,24.05.2024 00:44
отели,9963,1987,98,1,Орловская область,24.06.2025,24.06.2025 23:00
добыча,8056,343,50,0,Чукотский автономный округ,17.10.2023,17.10.2023 18:08
добыча,2846,1413,141,0,Тульская область,05.11.2025,05.11.2025 05:27
консалтинг,5104,536,185,0,Республика Марий,18.05.2025,18.05.2025 08:38
отели,4967,784,148,1,Чукотский автономный округ,17.02.2024,17.02.2024 20:55
логистика,1311,936,102,1,Брянская область,22.08.2025,22.08.2025 17:27
безопасность,9985,1705,111,0,Оренбургская область,10.02.2023,10.02.2023 17:27
добыча,4919,1418,138,0,Иркутская область,26.12.2023,26.12.2023 16:24
консалтинг,5012,1128,73,1,Республика Бурятия,11.09.2025,11.09.2025 10:21
энергетика,7689,600,40,0,Калининградская область,27.01.2023,27.01.2023 18:46
системная интеграция,8052,1028,107,1,Ростовская область,25.02.2025,25.02.2025 18:19
НКО,9639,345,105,0,Тверская область,27.02.2025,27.02.2025 21:10
ресторанный бизнес,7149,722,198,1,Кемеровская область,27.09.2025,28.09.2025 03:44
системная интеграция,0946,1533,99,1,Республика Марий,11.05.2024,11.05.2024 18:02
системная интеграция,0463,1628,171,0,Республика Мордовия,21.07.2025,22.07.2025 00:09
автобизнес,4054,1433,149,0,Санкт-Петербург,28.08.2023,28.08.2023 05:41
маркетинг,6516,1646,151,0,Алтайский край,22.01.2024,22.01.2024 20:10
реклама,4144,1616,78,1,Еврейская автономная область,22.09.2024,23.09.2024 09:26
добыча,1791,1502,147,1,Владимирская область,04.07.2024,05.07.2024 02:13
маркетинг,5048,213,44,1,Калининградская область,18.07.2023,18.07.2023 04:49
реклама,8601,1053,168,1,Ямало-Ненецкий автономный округ,16.12.2023,16.12.2023 10:23
розничная торговля,2201,605,125,0,Новосибирская область,14.08.2023,14.08.2023 21:36
ресторанный бизнес,3042,611,16,0,Курская область,15.06.2024,15.06.2024 16:28
НКО,1790,1978,163,0,Ненецкий автономный округ,23.08.2024,23.08.2024 05:24
химия,4535,331,88,0,Республика Саха (Якутия),25.04.2024,26.04.2024 00:31
химия,0156,325,69,0,Луганская Народная Республика,27.03.2023,27.03.2023 06:13
безопасность,0119,969,155,1,Омская область,27.08.2025,27.08.2025 16:38
реклама,5515,959,175,1,Пензенская область,05.05.2024,05.05.2024 14:42
маркетинг,6201,1450,15,1,Самарская область,25.07.2023,25.07.2023 03:29
маркетинг,2276,252,155,0,Республика Алтай,26.07.2024,27.07.2024 05:48
отели,6037,1125,159,1,Кемеровская область,26.04.2025,27.04.2025 04:12
металлургия,5279,234,163,1,Республика Карелия,28.10.2024,29.10.2024 00:28
отели,9942,1192,103,0,Волгоградская область,26.05.2025,26.05.2025 18:42
химия,6306,801,156,0,Владимирская область,01.12.2025,01.12.2025 21:50
безопасность,0521,461,128,0,Пермский край,14.08.2025,14.08.2025 10:57
консалтинг,1896,1187,170,0,Республика Марий,09.03.2024,09.03.2024 08:48
добыча,1729,1090,184,0,Смоленская область,30.10.2024,30.10.2024 15:49
автобизнес,3611,1672,66,1,Луганская Народная Республика,10.09.2023,11.09.2023 00:08
медицина,8061,385,204,1,Воронежская область,13.05.2023,13.05.2023 23:21
маркетинг,6253,1539,165,1,Рязанская область,02.04.2024,02.04.2024 11:07
информационные технологии,1437,428,23,1,Еврейская автономная область,21.01.2024,22.01.2024 09:07
фармацевтика,6026,460,219,1,Ставропольский край,04.01.2023,04.01.2023 12:03
фармацевтика,8776,588,217,1,Республика Карачаево-Черкесия,16.10.2024,16.10.2024 14:51
энергетика,8516,1559,155,0,Псковская область,20.03.2025,20.03.2025 03:34
консалтинг,5177,496,209,1,Воронежская область,20.10.2025,21.10.2025 00:29
энергетика,9855,780,38,0,Хабаровский край,17.10.2024,17.10.2024 19:32
химия,4481,1936,181,1,Камчатский край,17.03.2024,18.03.2024 03:18
маркетинг,0964,1859,86,0,Липецкая область,05.04.2024,06.04.2024 01:47
машиностроение,2934,1954,125,1,Пермский край,23.11.2023,23.11.2023 05:35
маркетинг,5529,1065,174,1,Волгоградская область,12.03.2025,12.03.2025 15:04
безопасность,4638,778,179,0,Иркутская область,17.03.2025,17.03.2025 11:08
телекоммуникации,9510,1973,207,0,Пермский край,26.07.2025,27.07.2025 01:10
фармацевтика,2254,1104,179,1,Удмуртская Республика,24.10.2023,24.10.2023 09:13
ресторанный бизнес,0150,941,186,0,Запорожская область,30.10.2023,30.10.2023 15:27
розничная торговля,0923,396,92,1,Калужская область,18.04.2023,18.04.2023 06:32
НКО,5546,1415,112,0,Камчатский край,07.04.2025,07.04.2025 19:02
химия,3947,1012,126,1,Хабаровский край,20.12.2023,21.12.2023 06:47
маркетинг,1469,1792,119,1,Кировская область,30.06.2025,30.06.2025 14:00
химия,1911,369,32,1,Республика Крым,09.11.2025,09.11.2025 10:01
фармацевтика,9388,1372,123,1,Вологодская область,06.01.2024,06.01.2024 15:30
НКО,7106,811,147,0,Вологодская область,28.10.2024,28.10.2024 05:45
медицина,3030,1030,209,0,Республика Северная Осетия-Алания,21.12.2025,21.12.2025 18:04
безопасность,9581,1303,183,0,Липецкая область,29.08.2023,29.08.2023 08:55
образование,2949,210,143,1,Пензенская область,09.09.2023,09.09.2023 04:08
фармацевтика,3379,1536,42,0,Республика Бурятия,09.06.2024,09.06.2024 09:05
химия,8293,811,94,0,Республика Карачаево-Черкесия,01.01.2023,01.01.2023 10:19
машиностроение,8511,1803,76,1,Ивановская область,01.10.2025,02.10.2025 01:20
безопасность,5770,1441,138,0,Вологодская область,02.04.2023,02.04.2023 10:02
ресторанный бизнес,2322,813,220,0,Ивановская область,18.03.2024,18.03.2024 21:22
автобизнес,2106,1693,160,1,Мурманская область,06.06.2024,06.06.2024 11:24
НКО,2676,1019,117,0,Чувашская Республика,21.05.2025,22.05.2025 01:09
медицина,3339,344,162,1,Чукотский автономный округ,30.01.2024,31.01.2024 10:23
фармацевтика,8380,1438,42,1,Костромская область,09.10.2024,09.10.2024 16:24
металлургия,9890,706,20,1,Тверская область,24.12.2025,24.12.2025 06:43
медицина,6665,335,85,0,Республика Калмыкия,14.11.2024,14.11.2024 11:09
отели,4484,220,26,1,Воронежская область,14.02.2025,14.02.2025 06:50
химия,2880,1278,187,1,Еврейская автономная область,29.09.2025,29.09.2025 13:33
системная интеграция,9375,1972,73,1,Приморский край,22.07.2023,22.07.2023 11:10
телекоммуникации,6383,570,89,1,Оренбургская область,19.09.2023,19.09.2023 13:00
безопасность,2548,1546,33,0,Ставропольский край,01.07.2024,01.07.2024 04:58
НКО,6065,1648,200,0,Запорожская область,06.05.2025,07.05.2025 01:29
розничная торговля,7192,924,205,1,Новосибирская область,10.08.2024,10.08.2024 15:27
безопасность,3749,825,163,0,Республика Башкортостан,12.04.2025,12.04.2025 15:54
добыча,1303,357,187,0,Архангельская область,05.12.2023,05.12.2023 21:03
добыча,4684,1334,127,0,Республика Карачаево-Черкесия,07.11.2025,08.11.2025 02:08
логистика,8157,1254,176,0,Республика Ингушетия,29.01.2023,29.01.2023 22:12
металлургия,6963,1638,137,1,Республика Марий,17.12.2025,18.12.2025 00:38
машиностроение,9952,1118,44,0,Калужская область,03.06.2023,03.06.2023 14:53
энергетика,8417,923,14,1,Томская область,15.02.2025,15.02.2025 12:23
химия,5538,1590,64,0,Удмуртская Республика,04.09.2024,04.09.2024 18:18
автобизнес,3491,204,189,1,Тамбовская область,16.09.2024,16.09.2024 23:32
машиностроение,7587,1465,218,1,Краснодарский край,29.12.2024,29.12.2024 03:39
консалтинг,5383,811,91,0,Калининградская область,17.12.2024,18.12.2024 01:11
маркетинг,5809,218,26,1,Омская область,09.02.2024,09.02.2024 08:33
безопасность,2519,1041,32,1,Калининградская область,15.11.2023,15.11.2023 23:16
отели,7712,1009,96,1,Республика Калмыкия,27.05.2025,27.05.2025 08:34
автобизнес,1781,1098,169,1,Смоленская область,14.10.2023,14.10.2023 14:47
реклама,0096,935,227,0,Новгородская область,24.01.2024,24.01.2024 12:02
энергетика,6465,1062,191,1,Республика Адыгея,25.11.2023,26.11.2023 00:12
логистика,4355,443,108,1,Иркутская область,11.10.2025,12.10.2025 05:45
энергетика,5323,1738,196,1,Новосибирская область,07.03.2025,07.03.2025 11:07
химия,0347,458,40,1,Новосибирская область,28.01.2023,29.01.2023 04:15
машиностроение,5606,1079,153,0,Ямало-Ненецкий автономный округ,10.09.2025,10.09.2025 14:18
логистика,1354,1758,110,0,Магаданская область,09.11.2023,10.11.2023 10:32
розничная торговля,4088,775,197,0,Республика Мордовия,21.05.2024,22.05.2024 00:52
реклама,3251,1170,181,0,Новосибирская область,07.01.2024,07.01.2024 13:54
фармацевтика,2437,669,31,0,Республика Ингушетия,20.03.2023,20.03.2023 11:12
энергетика,6985,236,158,0,Архангельская область,15.04.2023,15.04.2023 15:26
безопасность,5021,1633,163,0,Воронежская область,19.11.2024,19.11.2024 16:30
машиностроение,8354,1074,165,0,Пермский край,14.08.2023,14.08.2023 13:23
автобизнес,5752,1657,108,0,Пензенская область,08.04.2023,08.04.2023 08:02
металлургия,0855,1552,191,1,Тамбовская область,07.08.2024,07.08.2024 18:17
образование,1651,1082,48,1,Омская область,14.01.2025,14.01.2025 16:19
химия,1588,1570,4,0,Самарская область,08.01.2025,09.01.2025 02:51
системная интеграция,9649,1283,155,1,Тульская область,19.07.2024,19.07.2024 09:37
маркетинг,1430,417,34,0,Республика Карелия,26.01.2024,26.01.2024 09:45
консалтинг,1617,353,140,1,Пермский край,29.08.2025,29.08.2025 11:34
энергетика,0718,461,50,1,Иркутская область,01.06.2024,02.06.2024 01:22
системная интеграция,7348,1489,184,0,Ямало-Ненецкий автономный округ,19.05.2023,19.05.2023 20:26
безопасность,8256,1819,6,0,Хабаровский край,15.07.2024,16.07.2024 08:08
информационные технологии,0745,1359,16,0,Республика Северная Осетия-Алания,10.10.2025,11.10.2025 00:34
безопасность,1229,538,113,1,Республика Бурятия,10.03.2025,10.03.2025 20:38
автобизнес,3391,576,1,0,Амурская область,22.03.2024,23.03.2024 03:44
металлургия,8402,1132,129,1,Пермский край,27.03.2024,27.03.2024 14:45
автобизнес,9047,443,44,0,Республика Карелия,28.12.2025,28.12.2025 10:18
машиностроение,2428,768,35,1,Республика Коми,24.05.2024,24.05.2024 09:34
химия,0023,1528,89,1,Ульяновская область,20.06.2023,21.06.2023 01:56
медицина,4327,1678,35,1,Сахалинская область,26.08.2024,26.08.2024 21:03
НКО,0171,1887,92,0,Кировская область,28.12.2023,28.12.2023 11:01
медицина,9557,417,185,1,Севастополь,11.06.2024,11.06.2024 23:40
образование,9026,622,210,1,Воронежская область,26.10.2024,26.10.2024 11:13
фармацевтика,6480,518,115,0,Ямало-Ненецкий автономный округ,24.01.2025,24.01.2025 09:57
логистика,1536,1215,47,1,Орловская область,27.12.2023,27.12.2023 09:36
логистика,2956,1526,73,0,Республика Башкортостан,30.11.2023,30.11.2023 10:52
маркетинг,9959,584,18,0,Мурманская область,23.05.2025,23.05.2025 10:29
НКО,6595,405,186,0,Санкт-Петербург,24.07.2023,24.07.2023 15:24
металлургия,1803,1892,4,0,Ярославская область,23.05.2024,23.05.2024 05:17
энергетика,9825,227,203,0,Псковская область,24.11.2024,25.11.2024 01:05
ресторанный бизнес,2282,1183,195,1,Смоленская область,21.09.2024,21.09.2024 13:30
энергетика,3995,314,140,1,Камчатский край,10.09.2023,10.09.2023 12:52
машиностроение,1685,1315,76,0,Кемеровская область,30.04.2025,30.04.2025 11:00
отели,0394,664,110,1,Владимирская область,24.12.2024,24.12.2024 23:18
отели,6304,1606,227,0,Омская область,14.12.2023,14.12.2023 09:14
химия,4618,931,20,1,Тверская область,08.01.2025,08.01.2025 05:57
машиностроение,9905,509,46,1,Республика Алтай,16.11.2024,17.11.2024 02:11
реклама,2462,1566,176,1,Магаданская область,10.08.2024,10.08.2024 22:56
химия,4442,1222,170,1,Республика Мордовия,06.06.2023,06.06.2023 03:55
энергетика,2402,855,38,1,Тюменская область,06.09.2025,06.09.2025 07:07
фармацевтика,7004,1688,72,0,Архангельская область,23.10.2024,23.10.2024 07:11
маркетинг,5778,853,127,1,Оренбургская область,27.04.2025,28.04.2025 00:50
НКО,5464,483,206,0,Кабардино-Балкарская Республика,07.05.2025,07.05.2025 20:31
медицина,8746,1208,137,0,Кабардино-Балкарская Республика,21.06.2023,21.06.2023 21:45
реклама,8634,1383,199,0,Архангельская область,26.04.2024,26.04.2024 14:00
ресторанный бизнес,0282,942,143,1,Ивановская область,14.08.2023,14.08.2023 04:58
системная интеграция,5913,1938,218,0,Удмуртская Республика,31.07.2025,31.07.2025 07:53
медицина,6899,696,54,0,Краснодарский край,10.10.2023,10.10.2023 06:44
энергетика,6185,1701,7,1,Ростовская область,21.04.2023,22.04.2023 01:06
фармацевтика,1209,1176,215,0,Московская область,28.10.2023,28.10.2023 14:09
добыча,4015,357,4,1,Костромская область,09.01.2024,09.01.2024 18:47
энергетика,8642,1630,77,1,Чеченская республика,21.11.2024,21.11.2024 17:50
НКО,0217,787,29,0,Краснодарский край,07.03.2023,07.03.2023 22:48
розничная торговля,8246,528,3,1,Республика Карачаево-Черкесия,19.07.2025,19.07.2025 20:45
автобизнес,9373,1227,79,0,Республика Карачаево-Черкесия,18.11.2023,18.11.2023 11:05
безопасность,6186,456,191,0,Республика Ингушетия,25.04.2023,25.04.2023 10:25
розничная торговля,9164,1439,216,0,Челябинская область,04.09.2025,04.09.2025 15:41
НКО,6638,1894,98,0,Республика Коми,30.01.2025,30.01.2025 23:27
ресторанный бизнес,4423,422,27,0,Республика Калмыкия,18.11.2024,18.11.2024 03:15
информационные технологии,2667,1309,28,0,Тамбовская область,23.01.2023,23.01.2023 12:12
медицина,3306,1507,9,0,Нижегородская область,24.06.2023,24.06.2023 21:36
машиностроение,9237,1818,124,0,Республика Коми,06.10.2024,06.10.2024 05:19
